Number of Samples,Number of Expert Queries,Mean Distance Travelled,STDEV Distance Travelled,Mean Reward,STDEV Reward
500,500,32.58236740713943,0.0,5.079999999999936,0.0
1000,1000,15.01162660867242,1.7763568394002505e-15,2.219999999999996,4.440892098500626e-16
1500,1500,34.1038029984114,7.105427357601002e-15,5.169999999999933,8.881784197001252e-16
2000,2000,14.206995744814545,1.7763568394002505e-15,2.179999999999997,4.440892098500626e-16
2500,2500,58.16458674135007,7.105427357601002e-15,8.899999999999853,1.7763568394002505e-15
3000,3000,55.89175954321295,7.105427357601002e-15,9.069999999999851,0.0
3500,3500,36.20336527539406,0.0,5.37999999999993,0.0
4000,4000,51.450199424926765,0.0,8.139999999999871,0.0
4500,4500,14.722206262878723,1.7763568394002505e-15,2.2999999999999945,4.440892098500626e-16
5000,5000,37.35475906870012,0.0,5.8599999999999195,0.0
5500,5500,58.72483077108497,7.105427357601002e-15,8.819999999999855,1.7763568394002505e-15
6000,6000,65.17715065711181,1.4210854715202004e-14,10.04999999999983,0.0
6500,6500,76.04151224978203,0.0,11.739999999999794,0.0
7000,7000,50.62014058895851,0.0,8.149999999999869,1.7763568394002505e-15
7500,7500,75.3297928820023,1.4210854715202004e-14,11.299999999999802,1.7763568394002505e-15
8000,8000,19.08980559458626,0.0,2.349999999999994,0.0
8500,8500,80.19742766849141,0.0,11.519999999999799,0.0
9000,9000,57.35162274843255,7.105427357601002e-15,8.959999999999853,0.0
9500,9500,12.882281342744836,0.0,1.8000000000000014,0.0
10000,10000,56.42539376014948,0.0,8.399999999999865,0.0
10500,10500,56.74677729388445,7.105427357601002e-15,8.679999999999861,1.7763568394002505e-15
11000,11000,18.978739928002376,0.0,2.5499999999999896,0.0
11500,11500,56.923542095774714,0.0,8.57999999999986,1.7763568394002505e-15
12000,12000,62.362722558097836,0.0,9.249999999999847,0.0
12500,12500,54.200914116135756,7.105427357601002e-15,7.849999999999878,8.881784197001252e-16
13000,13000,62.40637331839705,0.0,9.359999999999845,0.0
13500,13500,62.65429648499471,7.105427357601002e-15,9.229999999999848,0.0
14000,14000,52.08857384565566,7.105427357601002e-15,7.559999999999884,8.881784197001252e-16
14500,14500,57.22785137230445,7.105427357601002e-15,8.64999999999986,0.0
15000,15000,62.06292853644042,7.105427357601002e-15,9.049999999999851,0.0
