Number of Samples,Number of Expert Queries,Mean Distance Travelled,STDEV Distance Travelled,Mean Reward,STDEV Reward
500,500,32.58236740713943,0.0,5.079999999999936,0.0
1008,508,14.36059557638671,1.7763568394002505e-15,1.9000000000000015,0.0
1198,698,15.34719333072579,1.7763568394002505e-15,2.4499999999999917,0.0
1443,943,34.484071546017454,0.0,5.259999999999932,0.0
1969,1469,39.935479342150124,0.0,5.9999999999999165,0.0
2569,2069,56.34951555483046,7.105427357601002e-15,8.749999999999858,0.0
3444,2944,16.732465542028844,0.0,2.7199999999999855,4.440892098500626e-16
3716,3216,51.58839390619069,0.0,7.879999999999877,8.881784197001252e-16
4504,4004,56.66469171078012,0.0,8.489999999999863,0.0
5353,4853,56.39924203028566,7.105427357601002e-15,8.479999999999864,0.0
6201,5701,58.039221944332304,0.0,8.61999999999986,0.0
7063,6563,56.79451673618193,7.105427357601002e-15,8.57999999999986,1.7763568394002505e-15
7921,7421,57.58448625113634,0.0,8.439999999999866,1.7763568394002505e-15
8765,8265,56.77339595402758,7.105427357601002e-15,8.469999999999862,1.7763568394002505e-15
9612,9112,74.30273734261242,0.0,10.96999999999981,0.0
10709,10209,73.8235285234831,0.0,10.929999999999811,0.0
11802,11302,65.99638958707206,1.4210854715202004e-14,9.849999999999834,0.0
12787,12287,73.57917300627716,0.0,11.059999999999807,1.7763568394002505e-15
13893,13393,11.812606998500629,0.0,1.8400000000000012,2.220446049250313e-16
14077,13577,11.570969157520391,1.7763568394002505e-15,1.7400000000000013,0.0
14251,13751,56.665300235467896,0.0,8.529999999999863,0.0
15104,14604,78.872654695129,1.4210854715202004e-14,11.779999999999792,1.7763568394002505e-15
16282,15782,66.6350014067775,0.0,10.05999999999983,0.0
17288,16788,61.53639752936211,7.105427357601002e-15,9.339999999999845,0.0
18222,17722,66.96690262835554,1.4210854715202004e-14,9.959999999999834,1.7763568394002505e-15
19218,18718,62.974043291427016,7.105427357601002e-15,9.589999999999838,1.7763568394002505e-15
20177,19677,53.751912372338325,0.0,8.089999999999872,0.0
20986,20486,63.53976040695336,7.105427357601002e-15,9.489999999999842,0.0
21935,21435,52.4567188183356,0.0,7.789999999999878,0.0
22714,22214,7.917970205117735,8.881784197001252e-16,1.310000000000001,0.0
22845,22345,83.04003126944072,1.4210854715202004e-14,12.829999999999771,0.0
24128,23628,63.96280359833257,0.0,9.499999999999842,0.0
25078,24578,62.42376999086698,7.105427357601002e-15,9.359999999999845,0.0
26014,25514,52.89488753112196,7.105427357601002e-15,7.919999999999876,0.0
26806,26306,52.99074317440325,7.105427357601002e-15,8.009999999999874,0.0
27607,27107,79.4525929124454,0.0,12.33999999999978,1.7763568394002505e-15
28841,28341,72.20961197892117,0.0,10.95999999999981,0.0
29937,29437,72.3763340798002,1.4210854715202004e-14,10.979999999999809,1.7763568394002505e-15
31035,30535,63.097250102691966,0.0,9.479999999999844,1.7763568394002505e-15
31983,31483,57.184155220083426,0.0,8.519999999999865,1.7763568394002505e-15
32835,32335,74.19332023930647,0.0,11.529999999999799,0.0
33988,33488,74.23233617495782,0.0,11.509999999999797,1.7763568394002505e-15
35139,34639,60.992487888181344,7.105427357601002e-15,9.299999999999844,1.7763568394002505e-15
36069,35569,81.36633412766723,1.4210854715202004e-14,12.739999999999771,1.7763568394002505e-15
37343,36843,82.40570837578129,0.0,13.019999999999765,1.7763568394002505e-15
38645,38145,65.63061441391656,0.0,9.93999999999983,1.7763568394002505e-15
39639,39139,53.49679716428036,0.0,7.889999999999875,8.881784197001252e-16
